ts,service,endpoint,method,version,status_code,latency_ms,level,error_message,trace_id
2026-09-07T08:00:00,orders-api,/login,POST,v1,200,151,INFO,,d0d48aac0f81fc629723abcd36804550
2026-09-07T08:00:00,orders-api,/login,POST,v1,200,132,INFO,,20332537290fc9895b8742799ee4ceb0
2026-09-07T08:00:00,orders-api,/catalog,GET,v1,200,99,INFO,,51da036b927a1c13c4d228d9f1e1a689
2026-09-07T08:00:01,orders-api,/catalog,GET,v1,200,97,INFO,,9101db36d88e76ceda0635cf951f99f5
2026-09-07T08:00:01,orders-api,/login,POST,v1,200,202,INFO,,c1f099063f6706e2c9fcb1346d9c9cd2
2026-09-07T08:00:01,orders-api,/login,POST,v1,401,232,WARN,invalid credentials,8d62b8351795ff748db9d787358db1fc
2026-09-07T08:00:02,orders-api,/login,POST,v1,200,254,INFO,,65211e3848a4def9b64437b19306d3b4
2026-09-07T08:00:02,orders-api,/checkout,POST,v1,200,186,INFO,,b3f7c04438ed04dcefd33cadf0c4bf0f
2026-09-07T08:00:02,orders-api,/profile,POST,v1,200,188,INFO,,feffab04e510bf012908cc1b7ee8be8f
2026-09-07T08:00:03,orders-api,/login,POST,v1,200,172,INFO,,2c0e15746c5c06be8631a6773ea88f1f
2026-09-07T08:00:03,orders-api,/catalog,GET,v1,200,135,INFO,,f0eba7bcfd8f5826d0bb38cb7169c282
2026-09-07T08:00:03,orders-api,/profile,POST,v1,200,177,INFO,,8294c9c11c82449905fd19625375f722
2026-09-07T08:00:04,orders-api,/checkout,POST,v1,200,219,INFO,,9841f49139d5b75ed47511454c52b3a2
2026-09-07T08:00:04,orders-api,/checkout,POST,v1,200,187,INFO,,324cf6d67f1e5c9aa68f4bddd2e2c831
2026-09-07T08:00:04,orders-api,/checkout,POST,v1,200,232,INFO,,43f480754b7b93d39107a36b254801cb
2026-09-07T08:00:05,orders-api,/checkout,POST,v1,200,215,INFO,,316d6cc6b79c5cad834eb6ca6a1e3cb2
2026-09-07T08:00:05,orders-api,/profile,POST,v1,200,167,INFO,,49d83a330abb57fc5ee7e43d9f1f07ee
2026-09-07T08:00:05,orders-api,/checkout,POST,v1,200,197,INFO,,9d1f05ad79493616c36dde9cb6b34537
2026-09-07T08:00:06,orders-api,/checkout,POST,v1,200,278,INFO,,f60ac9d7b2d52fc6c996a8c1a8ed617c
2026-09-07T08:00:06,orders-api,/catalog,GET,v1,200,155,INFO,,e7334336ee658d379b425c1ca385166d
2026-09-07T08:00:06,orders-api,/login,POST,v1,200,164,INFO,,a946cfe39217dcf864b067511525b965
2026-09-07T08:00:07,orders-api,/checkout,POST,v1,200,330,INFO,,03f2a35bd79f49ea60208079a65a5ea5
2026-09-07T08:00:07,orders-api,/profile,POST,v1,200,172,INFO,,5b6a139c46f69176ca606c1380bf784a
2026-09-07T08:00:07,orders-api,/catalog,GET,v1,200,121,INFO,,9f1ffbcdec9944b1cdd4e6f5b5e0ed85
2026-09-07T08:00:08,orders-api,/checkout,POST,v1,200,265,INFO,,ebf57f5a1380458dc8633b2c988af1f5
2026-09-07T08:00:08,orders-api,/checkout,POST,v1,200,322,INFO,,6082f8a18cb50c3cab9dbc98c9c8ad80
2026-09-07T08:00:08,orders-api,/catalog,GET,v1,200,169,INFO,,41c4e1c557ff125c1563f635302c9732
2026-09-07T08:00:09,orders-api,/catalog,GET,v1,200,84,INFO,,3686d28685b83592f08749f6e47644c6
2026-09-07T08:00:09,orders-api,/checkout,POST,v1,200,304,INFO,,af587696bb0fd92be8b1e8bc730e33e0
2026-09-07T08:00:09,orders-api,/catalog,GET,v1,200,114,INFO,,cb29ce380d685d01a5cf3e026f358890
2026-09-07T08:00:10,orders-api,/profile,POST,v1,200,206,INFO,,db77d8e4feb522e9dd9e9bf602ca723e
2026-09-07T08:00:10,orders-api,/profile,POST,v1,200,179,INFO,,3df18f0771e28177c8d09a8a4b6b8c10
2026-09-07T08:00:10,orders-api,/login,POST,v1,200,209,INFO,,31239fd3c7cd277437825fb182cb555f
2026-09-07T08:00:11,orders-api,/checkout,POST,v1,200,247,INFO,,e6024f2e1618d0501ac5bf6929db8902
2026-09-07T08:00:11,orders-api,/profile,POST,v1,200,128,INFO,,814db3f32d0c96228703d9c3013f836c
2026-09-07T08:00:11,orders-api,/catalog,GET,v1,200,162,INFO,,496d1b0e305b780d360b89a2021ee77f
2026-09-07T08:00:12,orders-api,/profile,POST,v1,200,170,INFO,,9a6de759873cca255c4f70053313b56b
2026-09-07T08:00:12,orders-api,/catalog,GET,v1,200,148,INFO,,b541f4fac99cfafb96701b8704646725
2026-09-07T08:00:12,orders-api,/catalog,GET,v1,200,127,INFO,,f28e8fad3157e57f32b85a699db87524
2026-09-07T08:00:13,orders-api,/checkout,POST,v1,200,173,INFO,,d03e9c606183c2370d932c7500665a5c
2026-09-07T08:00:13,orders-api,/profile,POST,v1,200,191,INFO,,14f242603b778b9487b647a9b2640ab6
2026-09-07T08:00:13,orders-api,/checkout,POST,v1,200,319,INFO,,c90b196ea33ce25d3b859224d34e4429
2026-09-07T08:00:14,orders-api,/profile,POST,v1,200,153,INFO,,9fa619edbf98cd07c4d819c1ef43b172
2026-09-07T08:00:14,orders-api,/checkout,POST,v1,200,300,INFO,,05d0a2238818fe8cdf89029fb90b9a63
2026-09-07T08:00:14,orders-api,/checkout,POST,v1,200,263,INFO,,bc0ccf7b8a72c6d91680b0585e541f63
2026-09-07T08:00:15,orders-api,/checkout,POST,v1,200,241,INFO,,2f669a8c29d467a52d10996d2f65f548
2026-09-07T08:00:15,orders-api,/checkout,POST,v1,200,294,INFO,,4e8be8b8728560f2686de0c8b8c2f38a
2026-09-07T08:00:15,orders-api,/checkout,POST,v1,200,339,INFO,,b04896042a9921cf0d3efa9a6f1eaa5f
2026-09-07T08:00:16,orders-api,/login,POST,v1,200,136,INFO,,b9cfcdbd876e8f3c947a73beb59e58bc
2026-09-07T08:00:16,orders-api,/checkout,POST,v1,200,270,INFO,,96c14b299639d0a305bc8c6a5b509102
